,tweet_id,sentiment,content
1,1956967666,sadness,Layin n bed with a headache  ughhhh...waitin on your call...
2,1956967696,sadness,Funeral ceremony...gloomy friday...
6,1956968487,sadness,"I should be sleep, but im not! thinking about an old friend who I want. but he's married now. damn, &amp; he wants me 2! scandalous!"
8,1956969035,sadness,@charviray Charlene my love. I miss you
9,1956969172,sadness,@kelcouch I'm sorry  at least it's Friday?
12,1956970047,sadness,Ugh! I have to beat this stupid song to get to the next  rude!
13,1956970424,sadness,@BrodyJenner if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol
15,1956971077,sadness,The storm is here and the electricity is gone
17,1956971206,sadness,So sleepy again and it's not even that late. I fail once again.
19,1956971586,sadness,How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend
24,1956972359,sadness,so tired and i think i'm definitely going to get an ear infection.  going to bed &quot;early&quot; for once.
26,1956972557,sadness,"@IsaacMascote  i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!"
28,1956973598,sadness,Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school.....  time to sleep!!!!!!!!!!!
36,1956976312,sadness,@ether_radio yeah :S i feel all funny cause i haven't slept enough  i woke my mum up cause i was singing she's not impressed :S you?
40,1956977084,happiness,mmm much better day... so far! it's still quite early. last day of #uds
47,1956979150,sadness,I'm having a problem with my photo here in twitter amf!!!...can't see my face!
59,1956982383,sadness,"@maternitytees Aww  Onward and upwards now, yay! Still sad to leave I bet."
61,1956982576,sadness,diesel yaris... 70mpg  so sad its not available in the US. That'd be awesome.
62,1956982605,sadness,I want to buy this great album but unfortunately i dont hav enuff funds  its &quot;long time noisy&quot;
63,1956983160,sadness,@Pokinatcha  in all honesty...pain   blech.
64,1956983171,sadness,Ok ... the passengers ... no one is alive ... they're all dead ... you just don't know it til the end ... then you cry ...
67,1956983690,sadness,@vincew @stefanyngo  i fell asleep on the beach and didn't put on enough sunscreen  lol
69,1956983874,happiness,"So great to see Oin &amp; Cynthia.  So happy.  Dinner was great, cute little place.  Too bad Oin got sick afterwards."
77,1956985535,happiness,"@havingmysay  dude, that is my favorite sandwich place ever. ummm did you take PICTURES?"
80,1956985764,sadness,@RachelLock22 ohh thursday i have exams.. all day  what about wednesday ?
82,1956986211,sadness,"@gcrush @nopantsdance i was just thinking about how excited i am for you guys to move, but then i realized how sad i am to see you go."
84,1956986767,sadness,@artfuldodga I love those 'it'sakey' USB sticks. We only have the 4GB in Australia
95,1956989514,sadness,@sweeetnspicy hiii im on my ipod...i cant fall asleep
96,1956989526,sadness,dont wanna work 11-830 tomorrow  but i get paid
97,1956989560,sadness,feels sad coz i wasnt able to play with the guys!!!  http://plurk.com/p/wxiux
103,1956990568,sadness,Darn these allergies! I don't like this time of year because of this! I never used to have this problem either
106,1956991673,sadness,@cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS
109,1956992030,sadness,"I wish she knew what she puts me through..She stole my heart, never gave it back..and occasionally she likes to be like look what I have!"
116,1956995196,sadness,@neesabear early happy day of birth in case I don't make it! Very tired from therapy today n just taking my medicine!  misshu! Love ya!
119,1956995762,sadness,Allergies suck ducks nuts.     &lt;=====8@8=====&gt;
125,1956996730,sadness,wonders why her Karma points turned into 0.00.  http://plurk.com/p/wxj54
126,1956996765,happiness,"Need to pack for CALI CALI! Cannot waittt! Thinking a glass of wine is in order to celebrate my weekend vaca. Still work 2morrow, tho."
127,1956996776,sadness,Is miserable  i feel like im gona cry  sux!
132,1956998532,sadness,*sigh* I'm going to bed... I just don't feel right anymore...
135,1956998704,sadness,Now I am depressed after watching so you think you can dance
136,1957000040,sadness,"Just cross 'cause I'm stuck twiddling my thumbs now, ugh"
150,1957002082,sadness,"Last day working for the Uni today, sad times"
162,1957005226,sadness,is still missing her husband.    I really want him home.
163,1957005279,sadness,I miss my puppy
166,1957005713,sadness,@nzdeany I've given up on pizza - kids would never let me have my fav  (the hot ones)
168,1957006033,sadness,@BarbSchaefer yearling in pet home died... very sad for their whole family
171,1957006245,sadness,"@heresmyhello92 We hate change, so of course. We're fans for life. &lt;3 Oh and if we haven't met Rob by then something went horribly wrong."
